bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,50,80,105,125,150,170,190,215
150,80,115,155,190,225,255,285,320
200,90,135,185,230,270,305,345,385
250,100,150,200,250,295,335,375,420
300,105,155,210,260,305,350,390,435
350,105,160,215,265,310,355,400,445
400,110,165,220,275,320,365,410,455
