bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,50,80,105,130,155,170,195,220
150,80,115,155,195,230,255,290,320
200,95,140,185,235,275,310,350,390
250,100,155,205,255,295,340,380,425
300,105,160,210,265,310,350,395,440
350,105,165,220,270,315,360,405,450
400,110,165,220,275,320,365,415,460
