bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,35,50,65,85,100,110,125,140
150,50,75,100,125,145,165,185,210
200,60,90,120,150,175,200,225,250
250,65,100,130,165,190,220,245,275
300,70,100,135,170,200,230,255,285
350,70,105,140,170,200,230,260,290
400,70,105,145,175,210,235,265,295
