bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,90,140,185,230,270,305,345,385
150,135,205,275,345,400,455,515,570
200,165,250,330,415,480,550,620,690
250,180,270,360,450,525,600,675,750
300,185,280,375,470,545,625,700,780
350,190,285,385,480,560,640,715,795
400,195,295,390,490,570,650,730,815
