bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,45,70,90,110,130,150,165,185
150,65,100,135,165,195,220,250,275
200,80,120,160,200,235,265,300,335
250,90,130,175,220,255,295,330,365
300,90,135,180,230,265,300,340,375
350,95,140,185,230,270,310,350,385
400,95,145,190,235,275,315,355,395
