bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,40,55,60,85,90,110,125,140
150,55,75,100,125,145,160,185,210
200,60,90,125,155,175,200,225,255
250,60,100,130,160,190,215,245,270
300,70,100,140,170,200,225,255,275
350,70,110,140,175,200,230,260,290
400,70,110,140,175,210,240,260,290
