bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,50,75,100,130,150,170,190,215
150,75,115,155,190,225,255,285,320
200,90,140,185,230,270,305,345,385
250,100,150,200,250,295,335,375,420
300,105,155,210,260,305,350,390,435
350,105,160,215,265,310,355,400,445
400,110,165,220,270,320,365,410,455
