bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,80,120,160,195,230,265,295,330
150,120,175,235,295,345,390,440,490
200,140,210,285,355,415,470,530,590
250,155,230,310,385,450,515,580,645
300,160,240,320,400,470,535,600,670
350,165,245,330,410,480,545,615,685
400,170,250,335,420,490,560,630,700
