bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,70,105,135,170,200,230,255,285
150,100,155,205,255,300,340,385,425
200,125,185,245,310,360,410,460,515
250,135,200,270,335,390,450,505,560
300,140,210,280,350,405,465,525,580
350,145,215,285,355,415,475,535,595
400,145,220,290,365,425,485,545,605
