bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,25,35,40,55,60,70,80,90
150,35,50,65,80,95,105,120,135
200,40,60,80,100,115,130,145,165
250,40,65,85,105,125,140,160,175
300,45,65,90,110,130,145,165,180
350,45,70,90,115,130,150,170,190
400,45,70,90,115,135,155,170,190
