bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,80,120,160,200,235,265,300,335
150,120,180,240,300,350,395,445,495
200,145,215,285,360,420,480,540,600
250,155,235,315,390,455,520,585,650
300,165,245,325,405,475,540,610,680
350,165,250,335,415,485,555,625,695
400,170,255,340,425,495,565,635,710
