bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,40,60,80,100,115,130,145,165
150,60,90,115,145,170,190,220,240
200,70,105,140,175,205,235,260,290
250,75,115,155,190,220,255,285,315
300,80,115,160,200,230,265,295,330
350,80,120,165,200,235,270,300,340
400,80,125,165,205,240,275,310,345
