bw,Untrained,Novice,Intermediate,Proficient,Advanced,Exceptional,Elite,WorldClass
100,25,40,50,60,75,85,95,105
150,40,55,75,95,110,125,140,155
200,45,70,90,115,135,155,170,190
250,50,75,100,125,145,165,185,205
300,50,80,105,130,150,170,190,215
350,50,80,105,130,155,175,200,220
400,55,80,105,135,155,180,200,225
